"id";"fecha";"ano";"mes";"dia";"codigo";"nombre";"unidad_medida";"valor"
76;"2013-01-28";2013;1;28;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.71
77;"2013-01-28";2013;1;28;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
78;"2013-01-29";2013;1;29;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.77
79;"2013-01-29";2013;1;29;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
80;"2013-01-30";2013;1;30;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.77
81;"2013-01-30";2013;1;30;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
82;"2013-01-31";2013;1;31;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.77
83;"2013-01-31";2013;1;31;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
84;"2013-02-01";2013;2;1;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.74
85;"2013-02-01";2013;2;1;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
86;"2013-02-02";2013;2;2;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.74
87;"2013-02-02";2013;2;2;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
88;"2013-02-03";2013;2;3;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.74
89;"2013-02-03";2013;2;3;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
90;"2013-02-04";2013;2;4;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.75
91;"2013-02-04";2013;2;4;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
92;"2013-02-05";2013;2;5;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.73
93;"2013-02-05";2013;2;5;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
94;"2013-02-06";2013;2;6;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.73
95;"2013-02-06";2013;2;6;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
96;"2013-02-07";2013;2;7;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.72
